Company,Stage,Position,Applied Date,Salary,Location
Vanguard Group,Rejected,Data Analyst,"August 10, 2024",,
http://cititec.com/,Followed up,CV Enquiry,"August 10, 2024",,
Harvey Nash,Followed up,CV Enquiry,"August 10, 2024",,
Gordon Yates,Followed up,CV Enquiry,"August 10, 2024",,
https://www.langleyjames.com/,Followed up,CV Enquiry,"August 19, 2024",,
https://levy-professionals.com/,Followed up,CV Enquiry,"August 20, 2024",,
https://www.linkpointresources.co.uk/,Applied,CV Enquiry,"August 10, 2024",,
https://macleanmoore.com/,Followed up,CV Enquiry,"August 10, 2024",,
https://www.michaeljamesassociates.com/,Followed up,CV Enquiry,"August 10, 2024",,
https://www.adecco.co.uk/,Applied,CV Enquiry,"August 10, 2024",,
https://www.antal.com/mailto:london@markssattin.com,Applied,CV Enquiry,"August 10, 2024",,
https://www.kxrecruit.co.uk/,Followed up,CV Enquiry,"August 10, 2024",,
https://www.interquestgroup.com/,Applied,CV Enquiry,"August 10, 2024",,
Razorpoint,Ghosted,Junior Data Analyst,"August 10, 2024",,
"https://www.glassdoor.co.uk/Overview/Working-at-Plenitude-Consulting-EI_IE2963228.11,31.htm",Rejected,Junior Consultant – Financial Crime Risk,"August 10, 2024",,
Qualient ,Rejected,Junior Data Analyst,"August 10, 2024",,
Gracye,Rejected,Data Graduate - London,"August 12, 2024","£26,800",
NHS,Ghosted,Graduate Data Analyst,"August 14, 2024",,
https://www.thezeki.com/?utm_source=otta.com,Rejected,Data Assistant,"August 15, 2024",£28K-£30K,
https://lightyear.com/?utm_source=otta.com,Rejected,Data Analyst,"August 15, 2024",,
"10,000 Black Interns programme",Applied,,"August 18, 2024",,
Client Server ,Messaged recruiter,CV Enquiry,,,
BIP UK,Rejected,Junior Data Scientist,"August 19, 2024",,
intellect Group,Rejected,Junior Data Scientist,"August 19, 2024",,
Joinrs,Rejected,Junior Data Scientist & AI,"August 19, 2024",£35000 ,
Hays,Rejected,Data Analyst,"August 19, 2024",£40K/yr - £45K/yr,
Diagonal recruitment,Rejected,Data Analyst,"August 19, 2024",£40K/yr - £45K/yr,
Austin Fraser,Rejected,Junior Data Scientist & AI,"August 19, 2024",£35000 - £45000 per annum,
QA,Rejected,Data Technician Apprentice,"August 21, 2024","£15,000 per annum",
QA,Rejected,Data Analyst Apprentice,"August 21, 2024","£23,000 - £25,000 per annum.",
Trustpliot,Rejected,Data Analyst Commercial/Marketing,"August 22, 2024",,
wintermute,Rejected,Core Developer (Python),"August 22, 2024",£115-150k,
eToro,Rejected,Business Analyst,"August 22, 2024",,
Randstad Inhouse Services,Rejected,Data Analyst Apprentice,"August 22, 2024",24K 25K,
Ranstad,Messaged recruiter,CV Enquiry,"August 22, 2024",,
Baltic Apprenticeship,Rejected,Junior Data Analyst,"August 23, 2024","£18,000",
In Technology Group Limited,Rejected,BI / Data Analyst,"August 24, 2024",£30000 - £35000,
How to Job Ltd,Rejected,Graduate Data Analyst,"August 24, 2024","£35,000 - £40,000 per annum, negotiable, inc benefits, OTE",
How to Job Ltd,Rejected,Entry-Level Data Analyst,"August 24, 2024"," £35,000 - £40,000 ",
Sparta Global,Rejected,Junior Technology Consultant,"August 29, 2024","£24,000",
